Date,Open,High,Low,Close,Adj Close,Volume
2017-08-30,24.270000,24.400000,23.910000,24.219999,24.219999,141200
2017-08-31,24.270000,24.540001,24.270000,24.490000,24.490000,223200
2017-09-01,24.510000,24.580000,24.290001,24.299999,24.299999,63300
2017-09-05,24.280001,24.500000,24.049999,24.209999,24.209999,94300
2017-09-06,24.209999,24.320000,23.900000,23.959999,23.959999,83700
2017-09-07,24.020000,24.059999,23.500000,23.570000,23.570000,177800
2017-09-08,23.549999,23.889999,23.150000,23.309999,23.309999,208800
2017-09-11,23.370001,23.670000,23.370001,23.500000,23.500000,99500
2017-09-12,23.450001,24.110001,23.450001,23.910000,23.910000,74100
2017-09-13,23.879999,24.270000,23.879999,24.150000,24.150000,125000
2017-09-14,24.129999,24.469999,23.780001,23.969999,23.969999,103100
2017-09-15,24.000000,24.190001,23.799999,23.920000,23.920000,316100
2017-09-18,23.950001,24.350000,23.889999,24.200001,24.200001,121500
2017-09-19,24.150000,24.379999,24.110001,24.170000,24.170000,123300
2017-09-20,24.190001,24.740000,24.040001,24.500000,24.500000,156900
2017-09-21,24.530001,24.980000,24.510000,24.900000,24.900000,187400
2017-09-22,24.860001,25.129999,24.860001,24.969999,24.969999,148400
2017-09-25,25.000000,25.299999,24.959999,25.219999,25.219999,198300
2017-09-26,25.280001,25.510000,25.190001,25.400000,25.400000,87400
2017-09-27,25.540001,25.780001,25.219999,25.740000,25.740000,111100
2017-09-28,25.719999,26.059999,25.530001,25.920000,25.920000,106800
2017-09-29,25.879999,25.879999,25.530001,25.600000,25.600000,60817
